"game_date","game_time_start","away_team","away_points","home_team","home_points","season","game_code","home_rpm","away_rpm"
"2013-11-20","7:00p","Miami Heat",120,"Orlando Magic",92,2014,"201311200ORL",-1.76628611111111,0.894808333333333
"2013-11-20","7:00p","Toronto Raptors",108,"Philadelphia 76ers",98,2014,"201311200PHI",-2.59364236111111,0.664934027777778
"2013-11-20","9:00p","Sacramento Kings",113,"Phoenix Suns",106,2014,"201311200PHO",-0.436899305555556,-0.528030555555555
"2013-11-20","8:30p","Boston Celtics",93,"San Antonio Spurs",104,2014,"201311200SAS",2.94975763888889,-0.754249305555555
"2013-11-21","10:30p","Chicago Bulls",87,"Denver Nuggets",97,2014,"201311210DEN",-0.390265277777778,0.933966666666667
"2013-11-21","8:00p","Los Angeles Clippers",91,"Oklahoma City Thunder",105,2014,"201311210OKC",1.95018055555556,1.81415
"2013-11-22","7:30p","Indiana Pacers",97,"Boston Celtics",82,2014,"201311220BOS",-0.908923611111111,0.897547222222222
"2013-11-22","7:00p","Phoenix Suns",98,"Charlotte Bobcats",91,2014,"201311220CHA",-0.560041666666667,-0.112940277777778
"2013-11-22","8:30p","Utah Jazz",93,"Dallas Mavericks",103,2014,"201311220DAL",0.861855555555556,-1.58714791666667
"2013-11-22","7:30p","Atlanta Hawks",96,"Detroit Pistons",89,2014,"201311220DET",-0.723294444444444,0.432044444444444
"2013-11-22","10:30p","Golden State Warriors",95,"Los Angeles Lakers",102,2014,"201311220LAL",-1.47482986111111,0.926654861111111
"2013-11-22","8:00p","San Antonio Spurs",102,"Memphis Grizzlies",86,2014,"201311220MEM",0.953570138888889,2.86238611111111
"2013-11-22","8:00p","Brooklyn Nets",81,"Minnesota Timberwolves",111,2014,"201311220MIN",0.84188125,-0.240299305555556
"2013-11-22","8:00p","Cleveland Cavaliers",100,"New Orleans Pelicans",104,2014,"201311220NOP",-0.240954166666667,-1.09197847222222
"2013-11-22","7:00p","Milwaukee Bucks",107,"Philadelphia 76ers",115,2014,"201311220PHI",-2.47696477987421,-2.41631949685535
